epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5886.66,0.48105,0.50834,0.98216,0.92301,0.90782,0.96296,0.89363,0.35991,0.40554,0.92025,0.000346625,0.000346625,0.000346625
75,5965.55,0.48346,0.52446,0.98466,0.94993,0.96738,0.98053,0.91559,0.34951,0.29966,0.90499,0.00033425,0.00033425,0.00033425
76,6046.02,0.47925,0.49056,0.97617,0.92926,0.88681,0.96571,0.90015,0.3583,0.41072,0.91204,0.000321875,0.000321875,0.000321875
77,6124.35,0.46529,0.50319,0.97288,0.93174,0.941,0.97987,0.91762,0.34135,0.32802,0.89807,0.0003095,0.0003095,0.0003095
78,6206.62,0.46757,0.49093,0.96964,0.96175,0.95027,0.98304,0.92092,0.34167,0.27629,0.89408,0.000297125,0.000297125,0.000297125
79,6289.06,0.46234,0.48034,0.96544,0.97604,0.952,0.98569,0.92248,0.34306,0.26806,0.89821,0.00028475,0.00028475,0.00028475
80,6371.69,0.46848,0.48526,0.9694,0.97142,0.93376,0.98219,0.92339,0.33259,0.29261,0.88634,0.000272375,0.000272375,0.000272375
81,6454.37,0.45278,0.47147,0.9589,0.94843,0.92815,0.97843,0.91516,0.34412,0.32222,0.90083,0.00026,0.00026,0.00026
82,6532.95,0.45296,0.47296,0.96134,0.95703,0.95894,0.98494,0.92698,0.32991,0.2741,0.8896,0.000247625,0.000247625,0.000247625
83,6613.39,0.44333,0.44387,0.95592,0.94833,0.93795,0.98044,0.92322,0.32712,0.29465,0.88728,0.00023525,0.00023525,0.00023525
84,6691.35,0.43773,0.44475,0.94842,0.94492,0.9205,0.9808,0.91987,0.33557,0.29875,0.9044,0.000222875,0.000222875,0.000222875
85,6769.42,0.45056,0.46544,0.96363,0.96618,0.92505,0.98105,0.92619,0.32921,0.29728,0.89388,0.0002105,0.0002105,0.0002105
